"route_pattern","route_type","locale","source_file","indexability_intent","redirect_target","private_or_public","notes"
"/admin/faqs","page","neutral","src/app/admin/faqs/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/faqs/:id","page","neutral","src/app/admin/faqs/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/files","page","neutral","src/app/admin/files/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/geo-monitoring","page","neutral","src/app/admin/geo-monitoring/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/license-generator","page","neutral","src/app/admin/license-generator/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/manuals","page","neutral","src/app/admin/manuals/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/manuals/assets/*path","route","neutral","src/app/admin/manuals/assets/[...path]/route.ts","noindex/private-intent","","private","not a public content surface"
"/admin/manuals/view/:slug","route","neutral","src/app/admin/manuals/view/[slug]/route.ts","noindex/private-intent","","private","not a public content surface"
"/admin/messages","page","neutral","src/app/admin/messages/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/online-tools","page","neutral","src/app/admin/online-tools/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/online-tools/:id","page","neutral","src/app/admin/online-tools/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/orders","page","neutral","src/app/admin/orders/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/orders/:id","page","neutral","src/app/admin/orders/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/payment-codes","page","neutral","src/app/admin/payment-codes/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/payments","page","neutral","src/app/admin/payments/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/payments/:id","page","neutral","src/app/admin/payments/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/plans","page","neutral","src/app/admin/plans/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/refunds","page","neutral","src/app/admin/refunds/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/refunds/:id","page","neutral","src/app/admin/refunds/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/releases","page","neutral","src/app/admin/releases/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/seo-insights","page","neutral","src/app/admin/seo-insights/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/settings","page","neutral","src/app/admin/settings/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/skill-learning","page","neutral","src/app/admin/skill-learning/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/skill-learning/:id","page","neutral","src/app/admin/skill-learning/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/software","page","neutral","src/app/admin/software/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/software/:id","page","neutral","src/app/admin/software/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/tags","page","neutral","src/app/admin/tags/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/tutorials","page","neutral","src/app/admin/tutorials/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/tutorials/:id","page","neutral","src/app/admin/tutorials/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/users","page","neutral","src/app/admin/users/page.tsx","noindex/private-intent","","private","not a public content surface"
"/admin/users/:id","page","neutral","src/app/admin/users/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/ai-api","page","neutral","src/app/ai-api/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-api/pricing","page","neutral","src/app/ai-api/pricing/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-news","page","zh","src/app/(zh-public)/ai-news/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-news","page","en","src/app/en/ai-news/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-news/:slug","page","zh","src/app/(zh-public)/ai-news/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-news/:slug","page","en","src/app/en/ai-news/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-news/ai-2","redirect","neutral","next.config.ts","redirect","/ai-news/tencent-cloud-efficiency-agent-tools","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/ai-news/ai-3","redirect","neutral","next.config.ts","redirect","/ai-news/how-to-choose-ai-tool-website","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/ai-news/ai-7-2","redirect","neutral","next.config.ts","redirect","/ai-news/ai-7","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/ai-news/anolisa-ai-2","redirect","neutral","next.config.ts","redirect","/ai-news/anolisa-ai","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/ai-news/enhe-ai","redirect","neutral","next.config.ts","redirect","/ai-news/enhe-ai-tool-station-user-guide","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/ai-news/github-copilot-cli-ai-2","redirect","neutral","next.config.ts","redirect","/ai-news/github-copilot-cli-ai","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/ai-news/topics/:slug","page","zh","src/app/(zh-public)/ai-news/topics/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-news/topics/:slug","page","en","src/app/en/ai-news/topics/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-trends","page","zh","src/app/(zh-public)/ai-trends/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-trends","page","en","src/app/en/ai-trends/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-trends/daily","page","zh","src/app/(zh-public)/ai-trends/daily/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-trends/daily","page","en","src/app/en/ai-trends/daily/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-trends/daily/:date","page","zh","src/app/(zh-public)/ai-trends/daily/[date]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/ai-trends/daily/:date","page","en","src/app/en/ai-trends/daily/[date]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/api/admin/ai-news/import","api","neutral","src/app/api/admin/ai-news/import/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/admin/upload","api","neutral","src/app/api/admin/upload/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/ai-news/:slug/favorite","api","neutral","src/app/api/ai-news/[slug]/favorite/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/ai-news/:slug/like","api","neutral","src/app/api/ai-news/[slug]/like/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/ai-news/:slug/view","api","neutral","src/app/api/ai-news/[slug]/view/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/analytics","api","neutral","src/app/api/analytics/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/health","api","neutral","src/app/api/health/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/orders/:id/payment-status","api","neutral","src/app/api/orders/[id]/payment-status/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/payment-proofs/:id/image","api","neutral","src/app/api/payment-proofs/[id]/image/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/session","api","neutral","src/app/api/session/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/tools/:id/download","api","neutral","src/app/api/tools/[id]/download/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/tools/:id/use","api","neutral","src/app/api/tools/[id]/use/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/uploads/:fileName","api","neutral","src/app/api/uploads/[fileName]/route.ts","noindex/private-intent","","public","anonymous disk-file GET and public immutable cache require production reconciliation"
"/api/uploads/payment-proof","api","neutral","src/app/api/uploads/payment-proof/route.ts","noindex/private-intent","","private","not a public content surface"
"/api/zpay/notify","api","neutral","src/app/api/zpay/notify/route.ts","noindex/private-intent","","private","not a public content surface"
"/en/account-services/gemini-pro","redirect","en","next.config.ts","redirect","/en/account-services","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/ai-news/ai-2","redirect","en","next.config.ts","redirect","/en/ai-news/tencent-cloud-efficiency-agent-tools","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/ai-news/ai-3","redirect","en","next.config.ts","redirect","/en/ai-news/how-to-choose-ai-tool-website","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/ai-news/ai-7-2","redirect","en","next.config.ts","redirect","/en/ai-news/ai-7","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/ai-news/anolisa-ai-2","redirect","en","next.config.ts","redirect","/en/ai-news/anolisa-ai","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/ai-news/enhe-ai","redirect","en","next.config.ts","redirect","/en/ai-news/enhe-ai-tool-station-user-guide","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/ai-news/github-copilot-cli-ai-2","redirect","en","next.config.ts","redirect","/en/ai-news/github-copilot-cli-ai","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/enhe-ai","redirect","en","next.config.ts","redirect","/en/about","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/online-tools","redirect","en","next.config.ts","redirect","/en/account-services","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/online-tools/:slug*","redirect","en","next.config.ts","redirect","/en/account-services/:slug*","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/skill-learning/ai-ai-ilo5a5","redirect","en","next.config.ts","redirect","/en/skill-learning/ai-monetization-side-hustle-course","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/en/software/zfb","redirect","en","next.config.ts","redirect","/en/software/zfb-transfer-link-qr-code-generator","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/enhe-ai","redirect","neutral","next.config.ts","redirect","/about","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/legal/:slug","page","zh","src/app/(zh-public)/legal/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/legal/:slug","page","en","src/app/en/legal/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/login","page","neutral","src/app/(auth)/login/page.tsx","noindex/private-intent","","public-auth","not a public content surface"
"/login","page","en","src/app/en/(auth)/login/page.tsx","noindex/private-intent","","public-auth","not a public content surface"
"/okf","redirect","neutral","next.config.ts","redirect","/okf/index.md","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/okf/","redirect","neutral","next.config.ts","redirect","/okf/index.md","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/online-tools","page","zh","src/app/(zh-public)/online-tools/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/online-tools","page","en","src/app/en/online-tools/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/online-tools","redirect","neutral","next.config.ts","redirect","/account-services","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/online-tools/:slug","page","zh","src/app/(zh-public)/online-tools/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/online-tools/:slug","page","en","src/app/en/online-tools/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/online-tools/:slug*","redirect","neutral","next.config.ts","redirect","/account-services/:slug*","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/orders/:id","page","neutral","src/app/orders/[id]/page.tsx","noindex/private-intent","","private","not a public content surface"
"/orders/:id/pay","page","neutral","src/app/orders/[id]/pay/page.tsx","noindex/private-intent","","private","not a public content surface"
"/pricing","page","zh","src/app/(zh-public)/pricing/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/pricing","page","en","src/app/en/pricing/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/register","page","neutral","src/app/(auth)/register/page.tsx","noindex/private-intent","","public-auth","not a public content surface"
"/register","page","en","src/app/en/(auth)/register/page.tsx","noindex/private-intent","","public-auth","not a public content surface"
"/search","page","zh","src/app/(zh-public)/search/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/search","page","en","src/app/en/search/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/skill-learning","page","zh","src/app/(zh-public)/skill-learning/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/skill-learning","page","en","src/app/en/skill-learning/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/skill-learning/:slug","page","zh","src/app/(zh-public)/skill-learning/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/skill-learning/:slug","page","en","src/app/en/skill-learning/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/skill-learning/ai-ai-ilo5a5","redirect","neutral","next.config.ts","redirect","/skill-learning/ai-monetization-side-hustle-course","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/software","page","zh","src/app/(zh-public)/software/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/software","page","en","src/app/en/software/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/software/:slug","page","zh","src/app/(zh-public)/software/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/software/:slug","page","en","src/app/en/software/[slug]/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/software/zfb","redirect","neutral","next.config.ts","redirect","/software/zfb-transfer-link-qr-code-generator","public-legacy-or-alias","configured redirect; production behavior must be checked"
"/tools/:slug","route","zh","src/app/(zh-public)/tools/[slug]/route.ts","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/tools/:slug","route","en","src/app/en/tools/[slug]/route.ts","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/tutorials","page","zh","src/app/(zh-public)/tutorials/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/tutorials","page","en","src/app/en/tutorials/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/user","page","en","src/app/en/user/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user","page","neutral","src/app/user/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api","page","neutral","src/app/user/api/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/billing","page","neutral","src/app/user/api/billing/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/docs","page","neutral","src/app/user/api/docs/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/keys","page","neutral","src/app/user/api/keys/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/logs","page","neutral","src/app/user/api/logs/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/profile","page","neutral","src/app/user/api/profile/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/referrals","page","neutral","src/app/user/api/referrals/page.tsx","noindex/private-intent","","private","not a public content surface"
"/user/api/usage","page","neutral","src/app/user/api/usage/page.tsx","noindex/private-intent","","private","not a public content surface"
"/validation/ai-prompt-kit","page","zh","src/app/(zh-public)/validation/ai-prompt-kit/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"/validation/ai-prompt-kit","page","en","src/app/en/validation/ai-prompt-kit/page.tsx","indexable-intent","","public","public route pattern; verify sitemap/canonical at production"
"public-slugs","configuration","neutral","src/lib/public-slugs.ts","canonical-source","","public-metadata","canonical tool/news slug helpers"
"sitemap.xml","generator","neutral","src/app/sitemap.ts","public-index-control","","public-metadata","dynamic sitemap; database-backed"
